received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-30T15:22:17.753910+00:00,,,,,,,"{""EDA"": 4.494999885559082, ""ECG"": 0.4000000059604645}"
2025-01-30T15:22:17.755647+00:00,,,,,,,"{""EDA"": 4.394000053405762, ""ECG"": -0.8600000143051147}"
2025-01-30T15:22:17.755647+00:00,,,,,,,"{""EDA"": 4.089000225067139, ""ECG"": -0.7770000100135803}"
2025-01-30T15:22:17.755647+00:00,,,,,,,"{""EDA"": 3.7950000762939453, ""ECG"": 0.3720000088214874}"
2025-01-30T15:22:17.755647+00:00,,,,,,,"{""EDA"": 3.625999927520752, ""ECG"": 0.9639999866485596}"
2025-01-30T15:22:18.739578+00:00,,,,,,,"{""EDA"": 3.2909998893737793, ""ECG"": 0.0010000000474974513}"
2025-01-30T15:22:18.740592+00:00,,,,,,,"{""EDA"": 2.9700000286102295, ""ECG"": -0.9879999756813049}"
2025-01-30T15:22:18.741103+00:00,,,,,,,"{""EDA"": 2.677000045776367, ""ECG"": -0.5690000057220459}"
2025-01-30T15:22:18.741632+00:00,,,,,,,"{""EDA"": 2.2850000858306885, ""ECG"": 0.6200000047683716}"
2025-01-30T15:22:18.741632+00:00,,,,,,,"{""EDA"": 1.9040000438690186, ""ECG"": 0.8610000014305115}"
2025-01-30T15:22:20.225857+00:00,,,,,,,"{""EDA"": 1.628000020980835, ""ECG"": -0.210999995470047}"
2025-01-30T15:22:20.226829+00:00,,,,,,,"{""EDA"": 1.3980000019073486, ""ECG"": -1.0479999780654907}"
2025-01-30T15:22:20.227339+00:00,,,,,,,"{""EDA"": 1.0410000085830688, ""ECG"": -0.29100000858306885}"
2025-01-30T15:22:20.227339+00:00,,,,,,,"{""EDA"": 0.7459999918937683, ""ECG"": 0.8569999933242798}"
2025-01-30T15:22:20.228346+00:00,,,,,,,"{""EDA"": 0.49900001287460327, ""ECG"": 0.6549999713897705}"
2025-01-30T15:22:20.228346+00:00,,,,,,,"{""EDA"": 0.3310000002384186, ""ECG"": -0.6520000100135803}"
2025-01-30T15:22:20.228346+00:00,,,,,,,"{""EDA"": 0.2199999988079071, ""ECG"": -0.8999999761581421}"
2025-01-30T15:22:20.791114+00:00,3,50,2150,9.97707,2025-01-30T15:22:20.789472+00:00,,
2025-01-30T15:22:21.221684+00:00,,,,,,,"{""EDA"": 0.15299999713897705, ""ECG"": 0.14499999582767487}"
2025-01-30T15:22:21.221684+00:00,,,,,,,"{""EDA"": -0.017999999225139618, ""ECG"": 0.9580000042915344}"
2025-01-30T15:22:21.223238+00:00,,,,,,,"{""EDA"": -0.08699999749660492, ""ECG"": 0.23399999737739563}"
2025-01-30T15:22:21.223765+00:00,,,,,,,"{""EDA"": 0.07100000232458115, ""ECG"": -0.8339999914169312}"
2025-01-30T15:22:21.224290+00:00,,,,,,,"{""EDA"": 0.11400000005960464, ""ECG"": -0.7110000252723694}"
2025-01-30T15:22:21.681867+00:00,2,100,2250,10.8705511,2025-01-30T15:22:21.680476+00:00,,
2025-01-30T15:22:22.233381+00:00,,,,,,,"{""EDA"": 0.22300000488758087, ""ECG"": 0.5350000262260437}"
2025-01-30T15:22:22.233995+00:00,,,,,,,"{""EDA"": 0.24300000071525574, ""ECG"": 0.9350000023841858}"
2025-01-30T15:22:22.235007+00:00,,,,,,,"{""EDA"": 0.4480000138282776, ""ECG"": -0.11299999803304672}"
2025-01-30T15:22:22.235873+00:00,,,,,,,"{""EDA"": 0.6579999923706055, ""ECG"": -1.0360000133514404}"
2025-01-30T15:22:23.126880+00:00,,,,,,,"{""EDA"": 0.8889999985694885, ""ECG"": -0.36399999260902405}"
2025-01-30T15:22:23.128419+00:00,,,,,,,"{""EDA"": 1.1979999542236328, ""ECG"": 0.8840000033378601}"
2025-01-30T15:22:23.128419+00:00,,,,,,,"{""EDA"": 1.4529999494552612, ""ECG"": 0.7599999904632568}"
2025-01-30T15:22:23.131596+00:00,,,,,,,"{""EDA"": 1.805999994277954, ""ECG"": -0.503000020980835}"
2025-01-30T15:22:23.132109+00:00,,,,,,,"{""EDA"": 2.2249999046325684, ""ECG"": -0.9750000238418579}"
2025-01-30T15:22:23.748647+00:00,,,,,,,"{""EDA"": 2.559000015258789, ""ECG"": 0.11800000071525574}"
2025-01-30T15:22:23.749222+00:00,,,,,,,"{""EDA"": 2.946000099182129, ""ECG"": 1.0190000534057617}"
2025-01-30T15:22:24.753026+00:00,,,,,,,"{""EDA"": 3.127000093460083, ""ECG"": 0.38600000739097595}"
2025-01-30T15:22:24.754530+00:00,,,,,,,"{""EDA"": 3.5209999084472656, ""ECG"": -0.8140000104904175}"
2025-01-30T15:22:24.754530+00:00,,,,,,,"{""EDA"": 3.7090001106262207, ""ECG"": -0.7400000095367432}"
2025-01-30T15:22:24.755554+00:00,,,,,,,"{""EDA"": 3.9839999675750732, ""ECG"": 0.45399999618530273}"
2025-01-30T15:22:24.755554+00:00,,,,,,,"{""EDA"": 4.300000190734863, ""ECG"": 0.9779999852180481}"
2025-01-30T15:22:25.739528+00:00,,,,,,,"{""EDA"": 4.508999824523926, ""ECG"": 0.12300000339746475}"
2025-01-30T15:22:25.740109+00:00,,,,,,,"{""EDA"": 4.704999923706055, ""ECG"": -0.9570000171661377}"
2025-01-30T15:22:25.740109+00:00,,,,,,,"{""EDA"": 4.910999774932861, ""ECG"": -0.5450000166893005}"
2025-01-30T15:22:25.741132+00:00,,,,,,,"{""EDA"": 4.945000171661377, ""ECG"": 0.6079999804496765}"
2025-01-30T15:22:25.741132+00:00,,,,,,,"{""EDA"": 4.984000205993652, ""ECG"": 0.8769999742507935}"
