received_timestamp,cardIndex,currentReward,finalKontostand,klickZeiten,timestamp,,values
2025-01-31T09:23:00.753522+00:00,,,,,,,"{""EDA"": 2.8929998874664307, ""ECG"": 0.9779999852180481}"
2025-01-31T09:23:00.753522+00:00,,,,,,,"{""EDA"": 3.1740000247955322, ""ECG"": 0.20499999821186066}"
2025-01-31T09:23:00.755297+00:00,,,,,,,"{""EDA"": 3.563999891281128, ""ECG"": -0.9240000247955322}"
2025-01-31T09:23:01.756036+00:00,,,,,,,"{""EDA"": 3.9230000972747803, ""ECG"": -0.6809999942779541}"
2025-01-31T09:23:01.757561+00:00,,,,,,,"{""EDA"": 4.080999851226807, ""ECG"": 0.5789999961853027}"
2025-01-31T09:23:01.759121+00:00,,,,,,,"{""EDA"": 4.388999938964844, ""ECG"": 0.8659999966621399}"
2025-01-31T09:23:01.760150+00:00,,,,,,,"{""EDA"": 4.479000091552734, ""ECG"": -0.2630000114440918}"
2025-01-31T09:23:02.769931+00:00,,,,,,,"{""EDA"": 4.761000156402588, ""ECG"": -1.0230000019073486}"
2025-01-31T09:23:02.778391+00:00,,,,,,,"{""EDA"": 4.7769999504089355, ""ECG"": -0.12099999934434891}"
2025-01-31T09:23:02.781582+00:00,,,,,,,"{""EDA"": 4.926000118255615, ""ECG"": 0.9879999756813049}"
2025-01-31T09:23:02.786807+00:00,,,,,,,"{""EDA"": 5.043000221252441, ""ECG"": 0.45899999141693115}"
2025-01-31T09:23:02.789464+00:00,,,,,,,"{""EDA"": 4.89900016784668, ""ECG"": -0.7559999823570251}"
2025-01-31T09:23:03.765956+00:00,,,,,,,"{""EDA"": 4.921000003814697, ""ECG"": -0.7129999995231628}"
2025-01-31T09:23:03.766974+00:00,,,,,,,"{""EDA"": 4.866000175476074, ""ECG"": 0.6340000033378601}"
2025-01-31T09:23:03.766974+00:00,,,,,,,"{""EDA"": 4.677999973297119, ""ECG"": 0.8920000195503235}"
2025-01-31T09:23:03.766974+00:00,,,,,,,"{""EDA"": 4.513999938964844, ""ECG"": -0.28999999165534973}"
2025-01-31T09:23:04.754784+00:00,,,,,,,"{""EDA"": 4.1570000648498535, ""ECG"": -0.9480000138282776}"
2025-01-31T09:23:04.757208+00:00,,,,,,,"{""EDA"": 3.9079999923706055, ""ECG"": -0.15199999511241913}"
2025-01-31T09:23:04.757803+00:00,,,,,,,"{""EDA"": 3.6389999389648438, ""ECG"": 0.9390000104904175}"
2025-01-31T09:23:04.760972+00:00,,,,,,,"{""EDA"": 3.4790000915527344, ""ECG"": 0.5350000262260437}"
2025-01-31T09:23:04.762155+00:00,,,,,,,"{""EDA"": 3.125999927520752, ""ECG"": -0.722000002861023}"
2025-01-31T09:23:05.771686+00:00,,,,,,,"{""EDA"": 2.763000011444092, ""ECG"": -0.8320000171661377}"
2025-01-31T09:23:05.778965+00:00,,,,,,,"{""EDA"": 2.4630000591278076, ""ECG"": 0.3409999907016754}"
2025-01-31T09:23:05.784610+00:00,,,,,,,"{""EDA"": 2.058000087738037, ""ECG"": 0.9800000190734863}"
2025-01-31T09:23:05.786192+00:00,,,,,,,"{""EDA"": 1.8370000123977661, ""ECG"": 0.07400000095367432}"
2025-01-31T09:23:05.788303+00:00,,,,,,,"{""EDA"": 1.3389999866485596, ""ECG"": -0.9580000042915344}"
2025-01-31T09:23:06.758783+00:00,,,,,,,"{""EDA"": 1.024999976158142, ""ECG"": -0.4429999887943268}"
2025-01-31T09:23:06.759780+00:00,,,,,,,"{""EDA"": 0.9269999861717224, ""ECG"": 0.8040000200271606}"
2025-01-31T09:23:06.761944+00:00,,,,,,,"{""EDA"": 0.6600000262260437, ""ECG"": 0.7850000262260437}"
2025-01-31T09:23:06.762971+00:00,,,,,,,"{""EDA"": 0.4620000123977661, ""ECG"": -0.43299999833106995}"
